Plant Name,Unit Name,ORISPL (Plant Code),GATS Unit ID,PJM Unit?,State,County,Balancing Authority,Nameplate,Date Online,Primary Fuel Type,Secondary,Tertiary,Quaternary,Fifth,Sixth,Seventh,Eighth,New Jersey,Maryland,Pennsylvania,District of Columbia,Delaware,Illinois,Ohio,Virginia,EFEC Eligible
"Addington, Jack and Dana Residence", J & D Addington,,NON41123,,VA,Chesterfield County,PJM Interconnection,0.00225,12/1/09,SUN,,,,,,,,,,PA-46070-NSTI-I,DC-102354-SUN-I,,,,,
Adkins-Jerry-VA-2.648kw Residence,Adkins-Jerry-VA-2.648kw Residence,,NON41881,,VA,Henry County,PJM Interconnection,0.00265,5/1/09,STH,,,,,,,,,,,DC-10756-STH-I,,,,,
"Adolfson, Kristen Residence",K Adolfson,,NON108835,,VA,Nelson County,PJM Interconnection,0.00825,6/1/15,SUN,,,,,,,,,,PA-461139-NSTI-I,,,,,VA-064334-SUN,
"Adolphe, Eric Residence","Adolphe, Eric Residence",,NON88189,,VA,Loudoun County,PJM Interconnection,0.00625,9/1/12,SUN,,,,,,,,,,PA-46833-NSTI-I,,,,,VA-045196-SUN,
AEP BUCK-BYLLESBY 1 H,1,3772,MSET89084101,Yes,VA,Carroll County,PJM Interconnection,30.1,1/1/12,WAT,,,,,,,,,MD-90204-WAT-01,,,,,,VA-000115-WAT,
AEP CLOYDS MT 1 LF,1,59845,MSET89722901,Yes,VA,Pulaski County,PJM Interconnection,6,12/1/14,LFG,DFO,,,,,,,NJ-10036-LFG-I,MD-40197-LFG-01,PA-461078-LFG-I,,,,,VA-050877-LFG,
AEP FRIES HYDRO,1,10798,MSET89704101,Yes,VA,Grayson County,PJM Interconnection,5,1/1/33,WAT,,,,,,,,NJ-10019-WAT-II,MD-90177-WAT-01,,,DE-99991-WAT-00,,,VA-000192-WAT,
AEP VIRGINIA CITY 1 F,1,56808,MSET89450104,Yes,VA,Wise County,PJM Interconnection,585,3/1/12,WC ,WDS,,,,,,,,,PA-46659-WDS-I,,,,,VA-020858-WDS,
Affordable Energy Concepts,D Wall,,NON56043,,VA,Amherst County,PJM Interconnection,0.00324,11/1/10,SUN,,,,,,,,,,PA-46531-NSTI-I,,,,,,
"Aggarwal, Ashok & Gauri Residence",A & G Aggarwal,,NON96087,,VA,Goochland County,PJM Interconnection,0.00605,8/1/14,SUN,,,,,,,,,,PA-46957-NSTI-I,,,,,VA-052385-SUN,
